line_id,held_out,source_tag,vaal,score,known_exact,stem_transfer,unknown,reason
35,T3,T3.11,"Xi u'te cha'tsoke, a'te itsok xefe yotlapek le le Vaal te'moxti qexcan...",partial,Xi u'te a'te itsok le le Vaal,cha'tsoke qexcan,xefe yotlapek te'moxti,"xi, itsok, Vaal from T1; cha'tsoke via Tzokan'te ts'ook in T2/T4; qexcan via Kextal T1; xefe, yotlapek, te'moxti T3-only"
36,T3,T3.12,Na' puyao.,fail,,,Na'[particle] puyao,puyao is T3-only
37,T3,T3.13,"Ich tlapec u'te puyao, a'te itsok pu uch' ta'nuk!",fail,u'te a'te itsok,,Ich tlapec puyao pu uch' ta'nuk,"only itsok blood is in training; tlapec, puyao, uch', ta'nuk, ich are T3-only"
38,T4,T4.1,Otsuks! Tzokan'te u'te ik'el...,partial,Tzokan'te u'te ik'el,,Otsuks,Tzokan'te u'te ik'el last spirit from T2; Otsuks T4-only
39,T4,T4.2,Atziri!,ok,Atziri,,,vocative Atziri is in T1/T2/T3
40,T4,T4.3,A'te Kuxkal tlayeb kutsen. Ela tlayeb ukto! Máax ka ti a'tul?,partial,A'te Kuxkal tlayeb kutsen tlayeb ti,Ela,ukto Máax ka[particle] a'tul,"Kuxkal tlayeb kutsen from T2/T1; Ela via elba T1; ukto, Máax, a'tul T4-only"
41,T4,T4.4,Atziri!,ok,Atziri,,,vocative Atziri is in T1/T2/T3
42,T4,T4.5,Otsuks! Máax ka ti a'tul?,fail,ti,,Otsuks Máax ka[particle] a'tul,"Otsuks, Máax, a'tul are T4-only"
43,T4,T4.6,U'te mucane!,ok,U'te mucane,,,U'te mucane mighty from T1/T3 with the presentative
44,T4,T4.7,Máax ka ti cheyel?,fail,ti,,Máax ka[particle] cheyel,Máax and cheyel are T4-only
45,T4,T4.8,U'te mucane!,ok,U'te mucane,,,U'te mucane as line 43
46,T4,T4.9,Máax tlayeb mucane?,partial,tlayeb mucane,,Máax,tlayeb mucane from T1/T3; Máax T4-only so the interrogative is missing
47,T4,T4.10,Atziri!,ok,Atziri,,,vocative Atziri is in T1/T2/T3
48,T4,T4x.1,"Otsuks, quxzeh!",fail,,,Otsuks quxzeh,Otsuks and quxzeh are T4-only
49,T4,T4x.2,Axba!? Kíibsa' ta' en!,fail,ta' en,,Axba Kíibsa',Axba and Kíibsa' are T4-only; ta' en in T3 does not recover kill
50,T5,T5.1,Ti ek tala jare'yantul!,partial,Ti ek,jare'yantul,tala,"jare and tul from T1 (and so, waning); ek in T1 is star not dark; tala T5-only; yan not in training lexicon"
51,T5,T5.2,Ti' ek'le upulché!,fail,,,Ti'[particle] ek'le upulché,upulché pul is T5-only and is not tul; ek'le cannot be licensed as dark from T1 star
