token,line_ids,current_tier,current_root,rival_id,rival_root,rival_lang,rival_gloss,source,form_fit,residue,line_sense,morphology,neighbor_field,verdict,outcome_tier,notes
kutsen,"6;21;40",C+L*,kutz sacrificial bird,D,kotz'i'j,K'iche',"flower, candle",Christenson,stretch,extra syllable,possible offered thing,already in 10.12,already logged,already logged,C+L*,no change
'Ibil,"6;15",C+L,il + -bil,A,il + -bil,Yucatec Maya,the seen (L-step to flesh),Cordemex IL; -bil suffix,composition plus L-step,glottal; flesh not in dicts,presentative noun; couplet with ik'el,inib soft support,wins field,keep-as-C*,C+L*,do not rewrite to shake
'Ibil,"6;15",C+L,il + -bil,B,IBIL,Yucatec Maya,to shake; that which must be shaken,Cordemex IBIL sacudir,exact lexeme,none,the shaking as presented noun,breaks inib,weaker couplet,loser logged,C+L*,stronger than lima bean
'Ibil,"6;15",C+L,il + -bil,C,EBIL,Yucatec Maya,"ladder, stair, step",Cordemex EBIL escalera,exact if i/e granted,vowel,the ladder,no,fails couplet,loser logged,C+L*,T-D ladder
'Ibil,"6;15",C+L,il + -bil,D,ib,Yucatec Maya,lima bean,Cordemex,leftover -il,-il,no,no,fails,already in s9 note,C+L*,weaker leftover
mucane,"1;27;43;45;46",C,muk' + -ane,A,muk' + -ane,Yucatec Maya,"strength, force; the mighty",Cordemex MUK' esforzarse; CHICH MUK' forzudo,needs glottal muk' vs muc,glottal,echo u mujuk' le mucane,honorific -ane,wins echo,keep-as-C*,C*,lead reading
mucane,"1;27;43;45;46",C,muk' + -ane,B,muk sepultar,Yucatec Maya,"bury, hide, conceal",Cordemex MUK sepultar,better glottal fit,none,behold the buried; buried Vaal,splits mujuk' family,thematically possible,loser logged as co-reading,C*,battery buried
mucane,"1;27;43;45;46",C,muk' + -ane,C,muq,K'iche',to bury; to hide,Christenson muq / muqik,sister-language,none,same sense as B,same as B,same as B,already in 10.12,C*,corroborates B not a third sense
tlayeb,"6;21;22;40;46",C+L,tlayohua,A,tlayohua,Nahuatl,it gets dark,Nahuatl 1100 tlayohua,tlayo- onset,hua vs eb,dark/night in ritual dark,prenominal only,wins same-language onset,keep C+L,C+L,category attributive vs locative is a particle probe
tlayeb,"6;21;22;40;46",C+L,tlayohua,B,YEB,Yucatec Maya,"ladder, stair, step",Cordemex YEB escalera,cross-graft with tla-,cross-graft forbidden strict,ladder turkey salad,no,fails,loser logged,C+L,T-D favorite; not a co-reading
tlayeb,"6;21;22;40;46",C+L,tlayohua,C,tla,Nahuatl/Nawat,"if; trash; arrange; paint",Campbell / Nahuatl 1100,prefix only,leftover yeb,arrange the turkey,no,fails,loser logged,C+L,does not cover surface
tlayeb,"6;21;22;40;46",C+L,tlayohua,D,(none),none,no attested whole form,dict_lookup miss,miss,whole surface,T-M abstain,n/a,n/a,not a lexicon row,C+L,honest miss is why T-M withheld
kilya,"3;31",C+L,quil- + -ya,A,quil- + -ya,Nahuatl,green/verdant + inchoative,Karttunen/Molina via s9,two Nah pieces,not in attached dicts as whole,optative ma kilya Zerphi,inchoative -ya attested,keep,keep,C+L,no whole-form in attached extracts
kilya,"3;31",C+L,quil- + -ya,B,KIL,Yucatec Maya,sweetness; pulse,Cordemex KIL,stem plus leftover ya,ya unexplained,not undying,no,fails,loser logged,C+L,T-M leftover
kifba,"6;22;31",C+L,k'i'ik' + ba',A,k'i'ik' + ba',Yucatec Maya,blood + self/heart,Cordemex K'IK',composition,medial f unexplained,couplet with kutsen,ba' recurrent,wins field,keep-as-C*,C+L*,cannot harden because of f
kifba,"6;22;31",C+L,k'i'ik' + ba',B,KIB,Yucatec Maya,"wax, candle",Cordemex KIB,shorter stem,leftover fa,candle in dark,no,weaker,loser logged,C+L*,T-D seed 55555
Tlaxye',10,C+L,tlal-/tlacah,A,tlaca,Nahuatl,"people, persons, men",Nahuatl 1100 tlaca,exact stem,leftover xye',the people of the Vaal,corroborates,keep,keep,C+L,not a different meaning
Ma'oxe,11,C+L,ma' + xok,A,ma' + xok,Yucatec Maya,without + count,Cordemex XOK cuenta,composition,whole-form miss,countless spirits,see 10.1,keep,keep,C+L,no new winner
Tzokan'te,"18;38",C+L,ts'ook,A,ts'ook / TS'OK,Yucatec Maya,"end, the last, to finish",Cordemex ts'ook fin; TS'OK acabarse,onset plus tails -an'te,an'te leftover,first/last pair with Yaxe,cha'tsoke same root,wins field,keep-as-C*,C+L*,current reading
Tzokan'te,"18;38",C+L,ts'ook,B,TSOK,Yucatec Maya,tear out; punish,Cordemex TSOK arrancar; castigar,same onset,same leftover,torn spirit,no first/last,weaker,loser logged,C+L*,battery tear-out
yuquia,24,C+L,yocoya,A,yocoya,Nahuatl,"create, devise",Karttunen via s9,audio u as /o/,not in attached dicts,behold the made,epithet -ia,keep,keep,C+L,same miss class as Panquetzaliztli
yuquia,24,C+L,yocoya,B,yuq,K'iche',"stretch, knead",Christenson,prefix,leftover ia,behold the stretch,palette-third,weaker,loser logged,C+L,battery stretch
mujuk',27,C,muk',A,muk',Yucatec Maya,"strength, force",Cordemex MUK',composition,whole-form miss,strength of the mighty,echo mucane,keep,keep,C,lead
mujuk',27,C,muk',B,muj,K'iche',"shadow, ghost, specter",Christenson,prefix,leftover uk',specter of the buried,weak residue,too weak to star,loser logged,C,T-M specter
i'chian,27,C,ichan,A,ichan,Nahuatl,his/her house,Nahuatl 1100 ichan,exact,apostrophe leftover,deep within her house,matches niáach far,winner current,C,clash was coverage not a better root
puyao,"36;37",S (s10.4),poyahua,A,poyahua,Nahuatl,"to darken, redden",s10.4,soft,whole-form miss,reddened offering,parallel a'te itsok,stay S,S,do not promote
puyao,"36;37",S (s10.4),poyahua,B,puy,Yucatec / K'iche',kiss/cover or stab,Cordemex / Christenson,stem,leftover ao,weak,no,fails,loser logged,S,already rejected puy slice in s10.4
tlapec,37,C+L,tlapechtli,A,tlapechtli,Nahuatl,"platform, altar-bed",Nahuatl 1100 tlapechtia related,coda tli,licensed loose leftover,on the altar,keep,keep,keep,C+L,no better whole-form
itsok,"4;12;35;37",C+L,iitz,A,iitz,Yucatec Maya,"sap, essence, blood",s9,latitude,whole-form miss,blood/essence,keep,keep,keep,C+L,live co-reading itztli in 10.12
uch',37,C*,uk' or puuch',A,uk' / puuch' / UCH',Yucatec Maya,drink or crush,Cordemex UCH' aplastado,exact crush homophone,none,drink deep or crush,already dual,already C*,keep,C*,battery crush is one committed reading
ta'nuk,37,C,nuk,A,nuk,Yucatec Maya,"big, great, thick",Cordemex NUK gorda,stem,ta'- open,great one,keep,keep,keep,C,ta'- same open particle
Otsuks,"38;42;48",S (s10.9),o + tsuk,A,tsuk,Yucatec Maya,"cluster, company",Cordemex TSUK monton; montecillo,pieces,coda -s open,company drill call,recurs as opener,stay S,S,do not promote
Axba,49,S (s10.9),ba'ax metathesis,A,ba'ax,Yucatec Maya,what,ilide ba'ax que,metathesis (forbidden strict),metathesis,What!?,parallel buxa,stay S,S,do not promote
Kíibsa',49,S (s10.9),kíims,A,kíims,Yucatec Maya,to kill,ilide kíims ajusticiar,m vs b,m to b,kill before me,stay S,stay S,S,do not promote
