id,token,legacy_confidence,recovery,reason,committed_root,committed_gloss,dec_root,dec_lang,dec_gloss,gate1_strict,gate1_where,gate2_adversarial,gate2_note,protocol,tier
28,ki' (Kí'),C,no,mismatch:sense,ki',"good, delicious, sweet",KI,Yucatec Maya,embeodar 0 hartar de vina 45. atsah ti' mab,fail,strict_committed_results_rerun id=28 mismatch:sense,fall,"DIFF-meaning: Yucatec Maya KI = chok'chok'ki: cosa apretada, atestada y embutida",,C*
29,kifba,none,no,confidence_not_C,k'i'ik',"the heart, lifeblood",,,,fail,strict_committed_results_rerun id=29 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
30,kilya,none,no,confidence_not_C,quil-,"evergreen, everlasting (contextual ""undying"")",,,,fail,strict_committed_results_rerun id=30 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
31,kujkuali,none,no,confidence_not_C,cualli,"good, worthy",,,,fail,strict_committed_results_rerun id=31 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
32,kutsen,C,no,"mismatch:root,sense",kutz,the offering,KUTS,Yucatec Maya,"acepiIIar 4, 8: Iimpiar con pafio a",fail,"strict_committed_results_rerun id=32 mismatch:root,sense",fall,"DIFF-meaning: Yucatec Maya KUTS = pavo de esta tierra 3: pavo real, macho 0 hembra 4, '6: pava",,C+L*
33,k'ux (quxzeh),C,no,mismatch:sense,k'ux,"bite!, be fierce",K'UX,Yucatec Maya,el que aborrece 0 tiene odio 0 rencor a otro;,fail;protocol_unexplained_residue,strict_committed_results_rerun id=33 mismatch:sense,fall,"DIFF-meaning: Yucatec Maya K'UX = dolor 1, 8: k'ux nak': dolor de tripas 0 ele",unexplained_residue,C*
34,ma,C,no,mismatch:sense,mā / Maya ma',"optative ""may""; negation ""not""",MA,Yucatec Maya,man dar con brio 0 con rigor,fail;protocol_dual_incompatible_bundle,strict_committed_results_rerun id=34 mismatch:sense,fall,DIFF-meaning: Yucatec Maya MA = pospuesta al cuerpo de los verb os y algunos nombres denota ,dual_incompatible_bundle,C*
35,máax,C,no,mismatch:sense,máax,who (interrogative),MAAX,Yucatec Maya,el que se abroquela bien,fail,strict_committed_results_rerun id=35 mismatch:sense,fall,DIFF-meaning: Yucatec Maya MAX = repartir una india entre much as su algod6n en,,C*
36,mucane,none,no,confidence_not_C,muk',"the mighty, the enduring",,,,fail,strict_committed_results_rerun id=36 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
37,mujuk',none,no,confidence_not_C,muk',"strength, might",,,,fail,strict_committed_results_rerun id=37 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
38,náach (niáach),C,yes,root_lang_sense_match,náach,"far, distant",NAACH,Yucatec Maya,venir de lejos 0 de lugar distante 3.,pass,strict_committed_results_rerun id=38 recovery=yes,fall,"DIFF-meaning: Yucatec Maya NACH = ele fuera [ser] [forastero, foraneo, extranjero]",,C*
39,nochira,soft,no,confidence_not_C,nochi / mochi,"all, everything",nochi,Nahuatl,all,fail,strict_committed_results_rerun id=39 confidence_not_C,fall,DIFF-meaning: Yucatec Maya NOCH = jicara que no esta bien redonda 9: jicara mal,,C*
40,pochiti,soft,no,confidence_not_C,poch,the Hungering One (Atziri's name for the Beast),POCH,Yucatec Maya,desear mucho 0 con ansia,fail,strict_committed_results_rerun id=40 confidence_not_C,fall,"DIFF-meaning: Yucatec Maya POCH = goloso que tiene gran hambre 2, 5: goloso",,C+L*
41,qexcan,none,no,confidence_not_C,k'ex,place of transformation,,,,fail,strict_committed_results_rerun id=41 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
42,sakilja,soft,no,confidence_not_C,sak,the sacred white draught,sakil,Yucatec Maya,Albo,fail,strict_committed_results_rerun id=42 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
43,ta'nuk,soft,no,confidence_not_C,nuk / nojoch,the great one,TANU,Yucatec Maya,a la luna.,fail,strict_committed_results_rerun id=43 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
44,tala,none,no,confidence_not_C,taal,"come, comes",,,,fail,strict_committed_results_rerun id=44 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
45,te,C,no,mismatch:sense,ti' / te',of / to (relational),TE,Yucatec Maya,convida:Jor que convida 2. ah chan I,fail,strict_committed_results_rerun id=45 mismatch:sense,fall,"DIFF-meaning: Yucatec Maya TE = cuenta para cacaos, huevos y calabazas 7,8:",,C*
46,Teoyuxtlane,none,no,confidence_not_C,teōtl,place of divine Utzaal,,,,fail,strict_committed_results_rerun id=46 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
47,Ti,C,no,"mismatch:lang(Nahuan not in ['Maya']),sense",ti',to / for you (dative),-ti,Nawat,to become,fail,"strict_committed_results_rerun id=47 mismatch:lang(Nahuan not in ['Maya']),sense",fall,DIFF-meaning: Nawat ti = 21-t ik negro; black,,C*
48,til,C,no,mismatch:sense,til,"to burn, kindle",TIL,Yucatec Maya,"honrado, venerable, ilustre.",fail,strict_committed_results_rerun id=48 mismatch:sense,fall,"DIFF-meaning: Nawat til = tile, tizne, carbón; soot",,C*
49,tlapec / yotlapek,none,no,confidence_not_C,tlapechtli,the (sacrificial) altar-platform,,,,fail,strict_committed_results_rerun id=49 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
50,tlayeb,none,no,confidence_not_C,tla- + tlayohua,the (sacred) dark,,,,fail,strict_committed_results_rerun id=50 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
51,tul,C,yes,root_lang_sense_match,tul,"wane, dwindle",TUL,Yucatec Maya,buboso [que esta Heno de bubas] 2.. TUL SOB,pass,strict_committed_results_rerun id=51 recovery=yes,fall,DIFF-meaning: Yucatec Maya TUL = en composici6n significa tcner abunclancia 3:,,C*
52,u,none,no,confidence_not_C,u- (Set A 3rd person),"his, her, its; the",,,,fail,strict_committed_results_rerun id=52 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
53,uch' / pu uch',C,no,"mismatch:root,sense",uk',drink / crush,UCH,Yucatec Maya,"dias ha 1, 7, 8: mucho tiempo ha 7: antiguamente, en los tiempospasados;",fail;protocol_dual_incompatible_readings,"strict_committed_results_rerun id=53 mismatch:root,sense",fall,DIFF-meaning: Yucatec Maya UCH' = deformado; aplastado,dual_incompatible_readings,C*
54,u'tra,none,no,confidence_not_C,Spanish otra,another,,,,fail,strict_committed_results_rerun id=54 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
55,Vaal,none,no,confidence_not_C,(name)[5],"the people, the empire",,,,fail,strict_committed_results_rerun id=55 confidence_not_C,n/a,proper name; Gate 2 not applicable,,C+L
56,waaj (waja),C,no,mismatch:sense,waaj,bread; altar-offering,WAH,Yucatec Maya,no puedo pasar la comida.,fail,strict_committed_results_rerun id=56 mismatch:sense,fall,DIFF-meaning: Yucatec Maya WAH = bizcochado as! 4. op'kinah wah 3: V. ka' tsuhtah wah,,C+L*
57,xefe,C,yes,root_lang_sense_match,Spanish jefe (archaic xefe),"chief, commander",jefe,Spanish,"Spanish: yuum nohoch yuum, halach wíinik, tatich, nohochil",pass,strict_committed_results_rerun id=57 recovery=yes,survive,no strong different-meaning competitor written by the lookup,,H
58,xi,C,no,"mismatch:lang(Maya not in ['Nahuan']),sense",xi-,"imperative ""do! / make!""",XI,Yucatec Maya,cosa correcliza que se arrima mucho pOl' sl,fail,"strict_committed_results_rerun id=58 mismatch:lang(Maya not in ['Nahuan']),sense",survive,no strong different-meaning competitor written by the lookup,,C
59,xu'te,none,no,confidence_not_C,xul,the end,,,,fail,strict_committed_results_rerun id=59 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
60,Yutsal / yutsal,none,no,confidence_not_C,y- (3 poss) + uts,the good (place); Utzaal,,,,fail,strict_committed_results_rerun id=60 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
61,Zerphi,none,no,confidence_not_C,(name)[5],unaging Vaal noble,,,,fail,strict_committed_results_rerun id=61 confidence_not_C,n/a,proper name; Gate 2 not applicable,,C
62,pul / puul,C,yes,root_lang_sense_match,pul puul,"throw, cast, cast down",PUL,Yucatec Maya,arrojar y desechar y echar de si; pul abich k'ik':,pass,strict_committed_results_rerun id=62 recovery=yes,fall,DIFF-meaning: Yucatec Maya PUL = idem 5: eehar asi [tender]; chelpultah [pp de,,C*
63,Quecholli,C,yes,root_lang_sense_match,quecholli (roseate spoonbill; the 14th veintena),precious-feather bird / the weapon-month (a Vaal mace),quecholli,Nahuatl,pájaro de brillante plumaje muy,pass,strict_committed_results_rerun id=63 recovery=yes,survive,no strong different-meaning competitor written by the lookup,,H+L
64,Panquetzaliztli,none,no,confidence_not_C,pan(tli) banner + quetza raise + -liztli,the raising of banners (15th veintena; a Vaal mace),,,,fail,strict_committed_results_rerun id=64 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
65,Ixchel,C,yes,root_lang_sense_match,Ix- (fem./agentive) + Chel,the Godstealer (a Vaal citizen; later the Trialmaster),ixchel,Yucatec Maya,"7, 8: yerba para curar hinchazones 5. ix chel 7, 8:",pass,strict_committed_results_rerun id=65 recovery=yes,survive,no strong different-meaning competitor written by the lookup,,H+L
66,chikula',soft,no,confidence_not_C,chikul,"sign, omen",chikul,Yucatec Maya,Bisono,fail,strict_committed_results_rerun id=66 confidence_not_C,fall,"DIFF-meaning: Yucatec Maya CHIK = cosa manca, tulIida 0 lisiada 0 encogida 10.",,C+L*
67,Gyan'uks,none,no,confidence_not_C,yancuic,the new ones -> (your) new children,,,,fail,strict_committed_results_rerun id=67 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
68,kíimil,C,no,"mismatch:root,sense",kíimil,"death, the dead",KIMIL,Yucatec Maya,"cosa muerta, que muri6; in kimil",fail,"strict_committed_results_rerun id=68 mismatch:root,sense",fall,DIFF-meaning: Yucatec Maya KIMIL = crecer la enfermedacl,,C+L*
69,ko'janti,none,no,confidence_not_C,ko',"come, devour",,,,fail,strict_committed_results_rerun id=69 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
70,kux / kuxkal / kuxte',C,no,"mismatch:root,sense",kuxtal,"life, the living",KUX,Yucatec Maya,"cosa viva 3: vivo, cosa que vive 8: kux ok alai:",fail,"strict_committed_results_rerun id=70 mismatch:root,sense",fall,"DIFF-meaning: Yucatec Maya KUX = seria bueno, y si :8: <!y? <!pues?, es interrogante;",,C+L*
71,le / le',C,no,mismatch:sense,article le...o',the,LE,Yucatec Maya,"lazo para cazar 0 pescar, y cazar y pesear con lazo;",fail,strict_committed_results_rerun id=71 mismatch:sense,fall,DIFF-meaning: Yucatec Maya LE = pron ese; el; pron peTS ello; Ie pek'o': ese,,C+L*
72,líimek,none,no,confidence_not_C,lu'um,"those in the earth, the dead",,,,fail,strict_committed_results_rerun id=72 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
73,Ma'oxe,none,no,confidence_not_C,ma' without + xok count,the countless / numberless spirits,,,,fail,strict_committed_results_rerun id=73 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
74,Tlaxye',none,no,confidence_not_C,tlal- / tlacah,"land, people",,,,fail,strict_committed_results_rerun id=74 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
75,Tzokan'te / tzok,none,no,confidence_not_C,ts'ook,"end, the last",,,,fail,strict_committed_results_rerun id=75 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
76,Xatlene,none,no,confidence_not_C,xotla,kindle! / the kindler,,,,fail,strict_committed_results_rerun id=76 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,S+L
77,yax / Yaxe,C,no,mismatch:sense,yax,"first, new, green",yax,Yucatec Maya,Prima Vera,fail,strict_committed_results_rerun id=77 mismatch:sense,survive,no strong different-meaning competitor written by the lookup,,C+L
78,yuquia,soft,no,confidence_not_C,yocoya,"the made, the wrought",yuq<u>,K'iche',stretch out (rubber); hold out (hand); lengthen (sleeves),fail,strict_committed_results_rerun id=78 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
