line_id,translation,confidence,notes
32,Wind-eche white-water atla Donuks.,low,"Ik'eche: ik' wind/breath + eche oh (as line 25), or ik + eche; soft. sakilja: white-water (as line 31). atla: loose Yucatec ATLE (OCR Iabula, likely fabula); weak, left atla. Donuks: opaque vocative; /d/ loan-diagnostic; -uks licensed loose coda only, no supporting root don."
33,[abstain] Donuks ko'soxsal,abstain,Donuks opaque name-like. ko'soxsal: no hit; sox/sal segments do not yield a legal same-language cover. Opaque stays opaque.
34,Donuks... ko'-ghost!,low,ko'mujuk: ko' + mujuk; muj K'iche' shadow/ghost (as line 27). Soft. Donuks: opaque.
35,"xi u-there untie-punish, there its-ok chief yotlapek the the Vaal descend-xti qexcan...",low,"cha'tsoke: cha Yucatec loosen/untie + tsok punish (soft). xefe: Spanish jefe chief (exact, x~j loan). yotlapek: no hit; yo + tlapek; Nahuatl tlapechtia they-serve-as-a-base is a longer neighbor, not a legal cover (residue). te'moxti: Nahuatl temo descend + residue xti (soft); competitor te' + K'iche' mox crazy + ti. qexcan: no hit; qax K'iche' leftovers + can Nahuatl where/only is cross-graft; opaque. le le Vaal: doubled demonstrative the the Vaal."
36,Mother puy-ao.,medium,"Na': Yucatec na' mother/mama (seed among mother cluster: madre); competitor K'iche' na' feel/taste/fear. puyao: no whole hit; K'iche' puy to stab + ao residue, or Yucatec puy kiss/cover; palette prefers Yucatec if used, but puyao as a unit is soft. Logged both."
37,"In/face base u-there puyao, there its-ok pu crush foot-sole!",low,"Ich: Yucatec ICH face/eye/in (seed parpados). tlapec: no exact; cf. Nahuatl tlapechtia base (prefix only, residue tia); soft base. puyao as line 36. pu: Yucatec camada/flujo (seed Camada); competitor K'iche' pu edge/mouth. uch': Yucatec UCH' crush/flatten (seed Apachurrar). ta'nuk: loose Yucatec TANAK callus / TANOK sole-of-foot (definitional foot cluster)."
38,Otsuks! Punish-te u-there insect...,low,"Otsuks: no whole hit; ots Yucatec hair-lock/loosen or tsuk heap/hill + uks coda (loose only). Treated as vocative proper, not forced. Tzokan'te as line 18. u'te as line 23. ik'el: insect."
39,Atziri!,high,"Opaque proper, vocative, no dict hit. Line is only the name."
40,There: Life-throat tlayeb turkey-I. Look tlayeb ukto! Who that at the-paid?,medium,"Kuxkal as line 23. tlayeb opaque. kutsen turkey-I. Ela: no strict whole hit; loose Yucatec ILA look/watch (e~i); competitor EL burn/char + residue a (soft). ukto: no hit; Nahuatl ocotl aromatic pine is attested but ocotl does not reconstruct ukto under strict or licensed loose (coda -tl and vowel path leave residue); left opaque. Máax: Yucatec máax who (ilide quién: máax) in a question frame; competitors crush/duende/shield (seed among all MAAX was machucar, discarded as not equally plausible next to ka ti). ka: Yucatec ka that/which (exact). ti: locative TI' (as line 4). a'tul: loose Yucatec ATAL be-paid/rewarded."
41,Atziri!,high,"Opaque proper, vocative."
42,Otsuks! Who that at the-paid?,medium,Otsuks vocative opaque (as line 38). Máax ka ti a'tul as line 40.
43,U-there buried/hidden!,medium,U'te as line 23. mucane: muk+ane bury/hide (as line 1).
44,Who that at cheyel?,low,Máax ka ti as line 40. cheyel: no hit; che' wood + yel (K'iche' brag) is cross-graft; che Yucatec announcement + yel; left cheyel opaque.
45,U-there buried/hidden!,medium,Same as line 43.
46,Who tlayeb buried?,medium,Máax who. tlayeb opaque. mucane buried/hidden.
47,Atziri!,high,"Opaque proper, vocative."
48,"Otsuks, quxzeh!",low,Otsuks vocative opaque. quxzeh: no hit; opaque. Not forced.
49,Knock-self-down!? wax dung I-am!,low,Axba: ax Yucatec knock-down/throw-to-ground + ba reflexive (Yucatec BA); soft. Kíibsa': kib/KIB Yucatec wax/candle + sa residue (soft). ta' en: dung + 1sg (as line 27); competitor ask I.
50,At wasp coming jare-there-is-full!,low,"Ti locative. ek: wasp (strict); EK' star/black competitor. tala: no strict; TAL come/appear + a, or loose Spanish tela cloth; soft coming. jare'yantul: jare opaque (/r/) + yan there-is + tul full/person-classifier; only the yan+tul tail is form-legal."
51,At that-star/black opposed-wood!,medium,"Ti': Yucatec TI' locative in/at/to (strict exact; seed among 120 homophones not used; definitional locative selected by slot). ek'le: EK' black/star/dye-wood (surface has glottal) + le that/the; seed among EK' senses: darken, but star/black/palo-de-tinte are the same Cordemex lemma family. upulché: Yucatec UPUL be-opposed/resisted + attested Maya suffix che (dict_lookup affix, no residue); competitor u+pul throw + che' wood (u unindexed)."
