id,token,legacy_confidence,recovery,reason,committed_root,committed_gloss,dec_root,dec_lang,dec_gloss,gate1_strict,gate1_where,gate2_adversarial,gate2_note,protocol,tier
41,qexcan,soft,no,confidence_not_C,k'ex,place of transformation,qex (k'ex),K'iche',to change/exchange (+directional kan),fail,"strict_committed_results id=41 confidence_not_C dec_root=""qex (k'ex)"" dec_lang=""K'iche'"" dec_gloss='to change/exchange (+directional kan)'",survive,no strong different-meaning competitor in archived adversarial CSV,,C+L
42,sakilja,soft,no,confidence_not_C,sak,the sacred white draught,sakil,Maya,"whiteness/clarity (+ ha' water?, compound)",fail,"strict_committed_results id=42 confidence_not_C dec_root='sakil' dec_lang='Maya' dec_gloss=""whiteness/clarity (+ ha' water?, compound)""",survive,no strong different-meaning competitor in archived adversarial CSV,,C+L
43,ta'nuk,none,no,confidence_not_C,nuk / nojoch,the great one,,,,fail,strict_committed_results id=43 confidence_not_C dec_root='' dec_lang='' dec_gloss='',fall,same-language+DIFF-meaning: Maya ta'an/taan = lime; ash (cal/ceniza),,C*
44,tala,soft,no,confidence_not_C,taal,"come, comes",tal,Maya,to come; to touch (residual final -a),fail,strict_committed_results id=44 confidence_not_C dec_root='tal' dec_lang='Maya' dec_gloss='to come; to touch (residual final -a)',fall,cross-language+DIFF-meaning: Nahuan ta:l = earth; land; ground,,C*
45,te,C,no,mismatch:sense,ti' / te',of / to (relational),te' (te),Maya,there/locative; also tree/wood,fail,"strict_committed_results id=45 mismatch:sense dec_root=""te' (te)"" dec_lang='Maya' dec_gloss='there/locative; also tree/wood'",fall,same-language+DIFF-meaning: Maya te' = tree; wood; cross-language+DIFF-meaning: Nahuan tetl = stone,,C*
46,Teoyuxtlane,none,no,confidence_not_C,teōtl,place of divine Utzaal,,,,fail,strict_committed_results id=46 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
47,Ti,C,yes,root_lang_sense_match,ti',to / for you (dative),ti',Maya (Yucatec),"preposition: to, at, in, for",pass,strict_committed_results id=47 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
48,til,none,no,confidence_not_C,til,"to burn, kindle",,,,fail,strict_committed_results id=48 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
49,tlapec / yotlapek,soft,no,confidence_not_C,tlapechtli,the (sacrificial) altar-platform,tlapech- (tlapechtli),Nahuatl,"bed, platform, frame",fail,"strict_committed_results id=49 confidence_not_C dec_root='tlapech- (tlapechtli)' dec_lang='Nahuatl' dec_gloss='bed, platform, frame'",survive,no strong different-meaning competitor in archived adversarial CSV,,C+L
50,tlayeb,none,no,confidence_not_C,tla- + tlayohua,the (sacred) dark,,,,fail,strict_committed_results id=50 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C+L
51,tul,C,no,"mismatch:lang(Kiche not in ['Maya']),sense",tul,"wane, dwindle",tul,K'iche',"reed, bullrush",fail,"strict_committed_results id=51 mismatch:lang(Kiche not in ['Maya']),sense dec_root='tul' dec_lang=""K'iche'"" dec_gloss='reed, bullrush'",fall,same-language+DIFF-meaning: Maya tuul = numeral classifier for animate beings,,C*
52,u,C,yes,root_lang_sense_match,u- (Set A 3rd person),"his, her, its; the",u,Maya (Yucatec),3sg possessive: his/her/its (also moon/month),pass,strict_committed_results id=52 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
53,uch' / pu uch',C,no,"mismatch:lang(Kiche not in ['Maya']),root,sense",uk',drink / crush,uch',K'iche',opossum,fail;protocol_dual_incompatible_readings,"strict_committed_results id=53 mismatch:lang(Kiche not in ['Maya']),root,sense dec_root=""uch'"" dec_lang=""K'iche'"" dec_gloss='opossum'",survive,no strong different-meaning competitor in archived adversarial CSV,dual_incompatible_readings,C
54,u'tra,none,no,confidence_not_C,Spanish otra,another,,,,fail,strict_committed_results id=54 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
55,Vaal,none,no,confidence_not_C,(name)[5],"the people, the empire",,,,fail,strict_committed_results id=55 confidence_not_C dec_root='' dec_lang='' dec_gloss='',n/a,proper name; Gate 2 not applicable,,C+L
56,waaj (waja),C,yes,root_lang_sense_match,waaj,bread; altar-offering,waaj (wah),Maya (Yucatec),"tortilla, maize bread",pass,strict_committed_results id=56 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H+L
57,xefe,C,yes,root_lang_sense_match,Spanish jefe (archaic xefe),"chief, commander",jefe (< Spanish),Spanish loan,"boss, chief",pass,strict_committed_results id=57 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
58,xi,C,no,"mismatch:lang(Maya not in ['Nahuan']),sense",xi-,"imperative ""do! / make!""",xi' (subjunctive/imperative of bin),Maya (Yucatec),go (let/may … go),fail,"strict_committed_results id=58 mismatch:lang(Maya not in ['Nahuan']),sense dec_root=""xi' (subjunctive/imperative of bin)"" dec_lang='Maya (Yucatec)' dec_gloss='go (let/may … go)'",survive,no strong different-meaning competitor in archived adversarial CSV,,C
59,xu'te,none,no,confidence_not_C,xul,the end,,,,fail,strict_committed_results id=59 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
60,Yutsal / yutsal,soft,no,confidence_not_C,y- (3 poss) + uts,the good (place); Utzaal,y-uts (uts 'good' + poss. y-),Maya (Yucatec),its goodness / good,fail,"strict_committed_results id=60 confidence_not_C dec_root=""y-uts (uts 'good' + poss. y-)"" dec_lang='Maya (Yucatec)' dec_gloss='its goodness / good'",survive,no strong different-meaning competitor in archived adversarial CSV,,C+L
61,Zerphi,none,no,confidence_not_C,(name)[5],unaging Vaal noble,,,,fail,strict_committed_results id=61 confidence_not_C dec_root='' dec_lang='' dec_gloss='',n/a,proper name; Gate 2 not applicable,,C
62,pul / puul,,no,no_decode_in_any_result_file,pul / puul,"throw, cast, cast down",,,,no_artifact,"DROPPED. EXPERIMENT_LOG claimed pul was restored from a pre-import copy and passed both gates. No row exists in strict_committed_results_batch*.csv, adversarial_results_batch*.csv, or the 61-row worksheet. Pass withdrawn.",no_artifact,no adversarial row,no_artifact,C
63,Quecholli,C,yes,battery_e_exact_lexeme,quecholli (roseate spoonbill; the 14th veintena),precious-feather bird / the weapon-month (a Vaal mace),,,,pass,Battery E 5/5 exact attested lexeme quecholli (BATTERY_E_RESULTS.md; not in the 61-row strict CSV),survive,Battery E: unanimous single-language assignment; no equal different-meaning competitor recorded,,H+L
64,Panquetzaliztli,C,yes,battery_e_exact_lexeme,pan(tli) banner + quetza raise + -liztli,the raising of banners (15th veintena; a Vaal mace),,,,pass,Battery E 5/5 exact attested compound (BATTERY_E_RESULTS.md; not in the 61-row strict CSV),survive,Battery E: unanimous single-language assignment; no equal different-meaning competitor recorded,,H+L
65,Ixchel,C,yes,battery_e_exact_lexeme,Ix- (fem./agentive) + Chel,the Godstealer (a Vaal citizen; later the Trialmaster),,,,pass,Battery E 5/5 attested theonym Ix Chel (BATTERY_E_RESULTS.md; not in the 61-row strict CSV),survive,Battery E: unanimous single-language assignment; no equal different-meaning competitor recorded,,H+L
66,chikula',,unscorable,not_in_battery,chikul,"sign, omen",,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
67,Gyan'uks,,unscorable,not_in_battery,yancuic,the new ones -> (your) new children,,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
68,kíimil,,unscorable,not_in_battery,kíimil,"death, the dead",,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
69,ko'janti,,unscorable,not_in_battery,ko',"come, devour",,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
70,kux / kuxkal / kuxte',,unscorable,not_in_battery,kuxtal,"life, the living",,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
71,le / le',,unscorable,not_in_battery,article le...o',the,,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
72,líimek,,unscorable,not_in_battery,lu'um,"those in the earth, the dead",,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
73,Ma'oxe,,unscorable,not_in_battery,ma' without + xok count,the countless / numberless spirits,,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
74,Tlaxye',,unscorable,not_in_battery,tlal- / tlacah,"land, people",,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
75,Tzokan'te / tzok,,unscorable,not_in_battery,ts'ook,"end, the last",,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
76,Xatlene,,unscorable,not_in_battery,xotla,kindle! / the kindler,,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,S+L
77,yax / Yaxe,,unscorable,not_in_battery,yax,"first, new, green",,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
78,yuquia,,unscorable,not_in_battery,yocoya,"the made, the wrought",,,,pending,not in strict_committed_results; hardening pending. Former L-only section-9 row; L is now a tag on C or S.,pending,hardening pending,,C+L
