battery,line_id,seed_a,seed_b,compatible
TM,16,42,55555,1
TM,17,1729,9001,1
TM,17,1729,271828,1
TM,17,1729,42,1
TM,17,1729,55555,0
TM,17,9001,271828,1
TM,17,9001,42,0
TM,17,9001,55555,0
TM,17,271828,42,1
TM,17,271828,55555,0
TM,17,42,55555,0
TM,18,1729,9001,0
TM,18,1729,271828,0
TM,18,1729,42,0
TM,18,1729,55555,0
TM,18,9001,271828,1
TM,18,9001,42,1
TM,18,9001,55555,1
TM,18,271828,42,1
TM,18,271828,55555,0
TM,18,42,55555,1
TM,19,1729,9001,1
TM,19,1729,271828,0
TM,19,1729,42,1
TM,19,1729,55555,0
TM,19,9001,271828,0
TM,19,9001,42,1
TM,19,9001,55555,0
TM,19,271828,42,0
TM,19,271828,55555,0
TM,19,42,55555,0
TM,20,1729,9001,1
TM,20,1729,271828,0
TM,20,1729,42,1
TM,20,1729,55555,1
TM,20,9001,271828,0
TM,20,9001,42,1
TM,20,9001,55555,1
TM,20,271828,42,0
TM,20,271828,55555,0
TM,20,42,55555,1
TM,21,1729,9001,0
TM,21,1729,271828,1
TM,21,1729,42,1
TM,21,1729,55555,0
TM,21,9001,271828,0
TM,21,9001,42,0
TM,21,9001,55555,1
TM,21,271828,42,1
TM,21,271828,55555,1
TM,21,42,55555,0
TM,22,1729,9001,1
TM,22,1729,271828,1
TM,22,1729,42,1
TM,22,1729,55555,1
TM,22,9001,271828,1
TM,22,9001,42,1
TM,22,9001,55555,1
TM,22,271828,42,1
TM,22,271828,55555,1
TM,22,42,55555,1
TM,23,1729,9001,1
TM,23,1729,271828,1
TM,23,1729,42,1
TM,23,1729,55555,0
TM,23,9001,271828,1
TM,23,9001,42,1
TM,23,9001,55555,1
TM,23,271828,42,1
TM,23,271828,55555,0
TM,23,42,55555,0
TM,24,1729,9001,0
TM,24,1729,271828,0
TM,24,1729,42,0
TM,24,1729,55555,0
TM,24,9001,271828,0
TM,24,9001,42,1
TM,24,9001,55555,0
TM,24,271828,42,0
TM,24,271828,55555,0
TM,24,42,55555,0
TM,25,1729,9001,0
TM,25,1729,271828,0
TM,25,1729,42,0
TM,25,1729,55555,1
TM,25,9001,271828,0
TM,25,9001,42,0
TM,25,9001,55555,0
TM,25,271828,42,0
TM,25,271828,55555,0
TM,25,42,55555,0
TM,26,1729,9001,0
TM,26,1729,271828,1
TM,26,1729,42,0
TM,26,1729,55555,0
TM,26,9001,271828,0
TM,26,9001,42,0
TM,26,9001,55555,0
TM,26,271828,42,0
TM,26,271828,55555,0
TM,26,42,55555,1
TM,27,1729,9001,0
TM,27,1729,271828,0
TM,27,1729,42,0
TM,27,1729,55555,0
TM,27,9001,271828,0
TM,27,9001,42,0
TM,27,9001,55555,0
TM,27,271828,42,0
TM,27,271828,55555,0
TM,27,42,55555,0
TM,28,1729,9001,0
TM,28,1729,271828,0
TM,28,1729,42,0
TM,28,1729,55555,0
TM,28,9001,271828,0
TM,28,9001,42,0
TM,28,9001,55555,1
TM,28,271828,42,0
TM,28,271828,55555,0
TM,28,42,55555,0
TM,29,1729,9001,1
TM,29,1729,271828,0
TM,29,1729,42,0
TM,29,1729,55555,0
TM,29,9001,271828,0
TM,29,9001,42,0
TM,29,9001,55555,0
TM,29,271828,42,0
TM,29,271828,55555,1
TM,29,42,55555,0
TM,30,1729,9001,1
TM,30,1729,271828,0
TM,30,1729,42,1
TM,30,1729,55555,0
TM,30,9001,271828,0
TM,30,9001,42,1
TM,30,9001,55555,0
TM,30,271828,42,0
TM,30,271828,55555,0
TM,30,42,55555,0
TM,31,1729,9001,1
TM,31,1729,271828,0
TM,31,1729,42,0
TM,31,1729,55555,0
TM,31,9001,271828,1
TM,31,9001,42,1
TM,31,9001,55555,1
TM,31,271828,42,0
TM,31,271828,55555,1
TM,31,42,55555,0
TM,32,1729,9001,1
TM,32,1729,271828,1
TM,32,1729,42,1
TM,32,1729,55555,0
TM,32,9001,271828,1
TM,32,9001,42,1
TM,32,9001,55555,0
TM,32,271828,42,0
TM,32,271828,55555,0
TM,32,42,55555,0
TM,33,1729,9001,1
TM,33,1729,271828,1
TM,33,1729,42,1
TM,33,1729,55555,1
TM,33,9001,271828,1
TM,33,9001,42,1
TM,33,9001,55555,1
TM,33,271828,42,1
TM,33,271828,55555,1
TM,33,42,55555,1
TM,34,1729,9001,0
TM,34,1729,271828,0
TM,34,1729,42,1
TM,34,1729,55555,1
TM,34,9001,271828,0
TM,34,9001,42,0
TM,34,9001,55555,0
TM,34,271828,42,0
TM,34,271828,55555,0
TM,34,42,55555,1
TM,35,1729,9001,1
TM,35,1729,271828,0
TM,35,1729,42,1
TM,35,1729,55555,0
TM,35,9001,271828,1
TM,35,9001,42,1
TM,35,9001,55555,0
TM,35,271828,42,0
TM,35,271828,55555,1
TM,35,42,55555,0
TM,36,1729,9001,1
TM,36,1729,271828,1
TM,36,1729,42,1
TM,36,1729,55555,1
TM,36,9001,271828,1
TM,36,9001,42,1
TM,36,9001,55555,1
TM,36,271828,42,1
TM,36,271828,55555,0
TM,36,42,55555,1
TM,37,1729,9001,1
TM,37,1729,271828,0
TM,37,1729,42,1
TM,37,1729,55555,0
TM,37,9001,271828,0
TM,37,9001,42,1
TM,37,9001,55555,0
TM,37,271828,42,0
TM,37,271828,55555,0
TM,37,42,55555,0
TM,38,1729,9001,0
TM,38,1729,271828,0
TM,38,1729,42,0
TM,38,1729,55555,0
TM,38,9001,271828,1
TM,38,9001,42,1
TM,38,9001,55555,0
TM,38,271828,42,0
TM,38,271828,55555,1
TM,38,42,55555,1
TM,39,1729,9001,1
TM,39,1729,271828,1
TM,39,1729,42,1
TM,39,1729,55555,1
TM,39,9001,271828,1
TM,39,9001,42,1
TM,39,9001,55555,1
TM,39,271828,42,1
TM,39,271828,55555,1
TM,39,42,55555,1
TM,40,1729,9001,0
TM,40,1729,271828,0
TM,40,1729,42,0
TM,40,1729,55555,0
TM,40,9001,271828,0
TM,40,9001,42,0
TM,40,9001,55555,0
TM,40,271828,42,1
TM,40,271828,55555,0
TM,40,42,55555,0
TM,41,1729,9001,1
TM,41,1729,271828,1
TM,41,1729,42,1
TM,41,1729,55555,1
TM,41,9001,271828,1
TM,41,9001,42,1
TM,41,9001,55555,1
TM,41,271828,42,1
TM,41,271828,55555,1
TM,41,42,55555,1
TM,42,1729,9001,1
TM,42,1729,271828,0
TM,42,1729,42,0
TM,42,1729,55555,0
TM,42,9001,271828,0
TM,42,9001,42,0
TM,42,9001,55555,0
TM,42,271828,42,0
TM,42,271828,55555,1
TM,42,42,55555,0
TM,43,1729,9001,1
TM,43,1729,271828,0
TM,43,1729,42,1
TM,43,1729,55555,0
TM,43,9001,271828,0
TM,43,9001,42,1
TM,43,9001,55555,0
TM,43,271828,42,0
TM,43,271828,55555,1
TM,43,42,55555,0
TM,44,1729,9001,1
TM,44,1729,271828,0
TM,44,1729,42,1
TM,44,1729,55555,0
TM,44,9001,271828,0
TM,44,9001,42,1
TM,44,9001,55555,0
TM,44,271828,42,0
TM,44,271828,55555,1
TM,44,42,55555,0
TM,45,1729,9001,1
TM,45,1729,271828,0
TM,45,1729,42,1
TM,45,1729,55555,0
TM,45,9001,271828,0
TM,45,9001,42,1
TM,45,9001,55555,0
TM,45,271828,42,0
TM,45,271828,55555,1
TM,45,42,55555,0
TM,46,1729,9001,1
TM,46,1729,271828,0
TM,46,1729,42,1
TM,46,1729,55555,0
TM,46,9001,271828,0
TM,46,9001,42,1
TM,46,9001,55555,0
TM,46,271828,42,0
TM,46,271828,55555,1
TM,46,42,55555,0
TM,47,1729,9001,1
TM,47,1729,271828,1
TM,47,1729,42,1
TM,47,1729,55555,1
TM,47,9001,271828,1
TM,47,9001,42,1
TM,47,9001,55555,1
TM,47,271828,42,1
TM,47,271828,55555,1
TM,47,42,55555,1
TM,48,1729,9001,1
TM,48,1729,271828,0
TM,48,1729,42,1
TM,48,1729,55555,1
TM,48,9001,271828,0
TM,48,9001,42,1
TM,48,9001,55555,1
TM,48,271828,42,0
TM,48,271828,55555,0
TM,48,42,55555,1
TM,49,1729,9001,1
TM,49,1729,271828,0
TM,49,1729,42,0
TM,49,1729,55555,0
TM,49,9001,271828,1
TM,49,9001,42,0
TM,49,9001,55555,0
TM,49,271828,42,0
TM,49,271828,55555,0
TM,49,42,55555,0
TM,50,1729,9001,0
TM,50,1729,271828,1
TM,50,1729,42,0
TM,50,1729,55555,0
TM,50,9001,271828,0
TM,50,9001,42,0
TM,50,9001,55555,1
TM,50,271828,42,0
TM,50,271828,55555,0
TM,50,42,55555,0
TM,51,1729,9001,0
TM,51,1729,271828,1
TM,51,1729,42,0
TM,51,1729,55555,0
TM,51,9001,271828,1
TM,51,9001,42,1
TM,51,9001,55555,1
TM,51,271828,42,1
TM,51,271828,55555,1
TM,51,42,55555,1
TD,1,1729,9001,1
TD,1,1729,271828,1
TD,1,1729,42,1
TD,1,1729,55555,0
TD,1,9001,271828,1
TD,1,9001,42,1
TD,1,9001,55555,1
TD,1,271828,42,1
TD,1,271828,55555,0
TD,1,42,55555,0
TD,2,1729,9001,1
TD,2,1729,271828,0
TD,2,1729,42,0
TD,2,1729,55555,0
TD,2,9001,271828,1
TD,2,9001,42,1
TD,2,9001,55555,0
TD,2,271828,42,1
TD,2,271828,55555,0
TD,2,42,55555,0
TD,3,1729,9001,1
TD,3,1729,271828,1
TD,3,1729,42,1
TD,3,1729,55555,1
TD,3,9001,271828,1
TD,3,9001,42,1
TD,3,9001,55555,1
TD,3,271828,42,1
TD,3,271828,55555,1
TD,3,42,55555,1
TD,4,1729,9001,1
TD,4,1729,271828,0
TD,4,1729,42,0
TD,4,1729,55555,0
TD,4,9001,271828,1
TD,4,9001,42,1
TD,4,9001,55555,1
TD,4,271828,42,0
TD,4,271828,55555,0
TD,4,42,55555,0
TD,5,1729,9001,1
TD,5,1729,271828,1
TD,5,1729,42,1
TD,5,1729,55555,1
TD,5,9001,271828,1
TD,5,9001,42,1
TD,5,9001,55555,1
TD,5,271828,42,1
TD,5,271828,55555,1
TD,5,42,55555,1
TD,6,1729,9001,1
TD,6,1729,271828,1
TD,6,1729,42,0
TD,6,1729,55555,0
TD,6,9001,271828,1
TD,6,9001,42,0
TD,6,9001,55555,0
TD,6,271828,42,0
TD,6,271828,55555,0
TD,6,42,55555,0
TD,7,1729,9001,1
TD,7,1729,271828,1
TD,7,1729,42,1
TD,7,1729,55555,1
TD,7,9001,271828,1
TD,7,9001,42,1
TD,7,9001,55555,1
TD,7,271828,42,1
TD,7,271828,55555,1
TD,7,42,55555,1
TD,8,1729,9001,0
TD,8,1729,271828,0
TD,8,1729,42,1
TD,8,1729,55555,0
TD,8,9001,271828,0
TD,8,9001,42,1
TD,8,9001,55555,0
TD,8,271828,42,0
TD,8,271828,55555,0
TD,8,42,55555,0
TD,9,1729,9001,1
TD,9,1729,271828,1
TD,9,1729,42,1
TD,9,1729,55555,1
TD,9,9001,271828,1
TD,9,9001,42,1
TD,9,9001,55555,1
TD,9,271828,42,1
TD,9,271828,55555,1
TD,9,42,55555,1
TD,10,1729,9001,1
TD,10,1729,271828,1
TD,10,1729,42,1
TD,10,1729,55555,1
TD,10,9001,271828,1
TD,10,9001,42,1
TD,10,9001,55555,1
TD,10,271828,42,1
TD,10,271828,55555,1
TD,10,42,55555,1
TD,11,1729,9001,0
TD,11,1729,271828,0
TD,11,1729,42,0
TD,11,1729,55555,0
TD,11,9001,271828,1
TD,11,9001,42,0
TD,11,9001,55555,0
TD,11,271828,42,0
TD,11,271828,55555,0
TD,11,42,55555,0
TD,12,1729,9001,1
TD,12,1729,271828,1
TD,12,1729,42,1
TD,12,1729,55555,0
TD,12,9001,271828,1
TD,12,9001,42,1
TD,12,9001,55555,0
TD,12,271828,42,1
TD,12,271828,55555,0
TD,12,42,55555,0
TD,13,1729,9001,1
TD,13,1729,271828,1
TD,13,1729,42,0
TD,13,1729,55555,0
TD,13,9001,271828,1
TD,13,9001,42,0
TD,13,9001,55555,0
TD,13,271828,42,0
TD,13,271828,55555,0
TD,13,42,55555,0
TD,14,1729,9001,1
TD,14,1729,271828,0
TD,14,1729,42,1
TD,14,1729,55555,0
TD,14,9001,271828,0
TD,14,9001,42,1
TD,14,9001,55555,0
TD,14,271828,42,0
TD,14,271828,55555,1
TD,14,42,55555,0
TD,15,1729,9001,1
TD,15,1729,271828,1
TD,15,1729,42,1
TD,15,1729,55555,0
TD,15,9001,271828,1
TD,15,9001,42,1
TD,15,9001,55555,0
TD,15,271828,42,1
TD,15,271828,55555,1
TD,15,42,55555,0
TD,16,1729,9001,1
TD,16,1729,271828,1
TD,16,1729,42,0
TD,16,1729,55555,0
TD,16,9001,271828,1
TD,16,9001,42,0
TD,16,9001,55555,0
TD,16,271828,42,0
TD,16,271828,55555,1
TD,16,42,55555,0
TD,17,1729,9001,1
TD,17,1729,271828,0
TD,17,1729,42,1
TD,17,1729,55555,0
TD,17,9001,271828,0
TD,17,9001,42,0
TD,17,9001,55555,0
TD,17,271828,42,0
TD,17,271828,55555,1
TD,17,42,55555,0
TD,18,1729,9001,0
TD,18,1729,271828,0
TD,18,1729,42,0
TD,18,1729,55555,0
TD,18,9001,271828,0
TD,18,9001,42,1
TD,18,9001,55555,0
TD,18,271828,42,0
TD,18,271828,55555,0
TD,18,42,55555,0
TD,19,1729,9001,0
TD,19,1729,271828,0
TD,19,1729,42,0
TD,19,1729,55555,1
TD,19,9001,271828,0
TD,19,9001,42,0
TD,19,9001,55555,0
TD,19,271828,42,0
TD,19,271828,55555,0
TD,19,42,55555,0
TD,20,1729,9001,1
TD,20,1729,271828,0
TD,20,1729,42,0
TD,20,1729,55555,0
TD,20,9001,271828,0
TD,20,9001,42,0
TD,20,9001,55555,0
TD,20,271828,42,1
TD,20,271828,55555,0
TD,20,42,55555,0
TD,21,1729,9001,0
TD,21,1729,271828,0
TD,21,1729,42,0
TD,21,1729,55555,0
TD,21,9001,271828,1
TD,21,9001,42,0
TD,21,9001,55555,0
TD,21,271828,42,0
TD,21,271828,55555,0
TD,21,42,55555,0
TD,22,1729,9001,0
TD,22,1729,271828,0
TD,22,1729,42,0
TD,22,1729,55555,0
TD,22,9001,271828,0
TD,22,9001,42,1
TD,22,9001,55555,0
TD,22,271828,42,0
TD,22,271828,55555,0
TD,22,42,55555,0
TD,23,1729,9001,1
TD,23,1729,271828,0
TD,23,1729,42,1
TD,23,1729,55555,1
TD,23,9001,271828,1
TD,23,9001,42,1
TD,23,9001,55555,1
TD,23,271828,42,0
TD,23,271828,55555,1
TD,23,42,55555,1
TD,24,1729,9001,1
TD,24,1729,271828,1
TD,24,1729,42,1
TD,24,1729,55555,1
TD,24,9001,271828,1
TD,24,9001,42,1
TD,24,9001,55555,1
TD,24,271828,42,1
TD,24,271828,55555,1
TD,24,42,55555,1
TD,25,1729,9001,0
TD,25,1729,271828,0
TD,25,1729,42,1
TD,25,1729,55555,0
TD,25,9001,271828,0
TD,25,9001,42,0
TD,25,9001,55555,0
TD,25,271828,42,0
TD,25,271828,55555,0
TD,25,42,55555,0
TD,26,1729,9001,0
TD,26,1729,271828,1
TD,26,1729,42,1
TD,26,1729,55555,0
TD,26,9001,271828,0
TD,26,9001,42,1
TD,26,9001,55555,0
TD,26,271828,42,1
TD,26,271828,55555,0
TD,26,42,55555,0
TD,27,1729,9001,0
TD,27,1729,271828,1
TD,27,1729,42,0
TD,27,1729,55555,0
TD,27,9001,271828,0
TD,27,9001,42,0
TD,27,9001,55555,0
TD,27,271828,42,0
TD,27,271828,55555,0
TD,27,42,55555,0
TD,28,1729,9001,0
TD,28,1729,271828,0
TD,28,1729,42,0
TD,28,1729,55555,0
TD,28,9001,271828,0
TD,28,9001,42,0
TD,28,9001,55555,0
TD,28,271828,42,1
TD,28,271828,55555,1
TD,28,42,55555,0
TD,29,1729,9001,0
TD,29,1729,271828,0
TD,29,1729,42,1
TD,29,1729,55555,0
TD,29,9001,271828,0
TD,29,9001,42,0
TD,29,9001,55555,0
TD,29,271828,42,0
TD,29,271828,55555,1
TD,29,42,55555,0
TD,30,1729,9001,1
TD,30,1729,271828,1
TD,30,1729,42,1
TD,30,1729,55555,1
TD,30,9001,271828,1
TD,30,9001,42,0
TD,30,9001,55555,1
TD,30,271828,42,1
TD,30,271828,55555,1
TD,30,42,55555,0
TD,31,1729,9001,0
TD,31,1729,271828,1
TD,31,1729,42,1
TD,31,1729,55555,0
TD,31,9001,271828,1
TD,31,9001,42,1
TD,31,9001,55555,0
TD,31,271828,42,1
TD,31,271828,55555,0
TD,31,42,55555,0
TD,32,1729,9001,0
TD,32,1729,271828,1
TD,32,1729,42,1
TD,32,1729,55555,1
TD,32,9001,271828,1
TD,32,9001,42,0
TD,32,9001,55555,0
TD,32,271828,42,1
TD,32,271828,55555,1
TD,32,42,55555,1
TD,33,1729,9001,0
TD,33,1729,271828,1
TD,33,1729,42,1
TD,33,1729,55555,0
TD,33,9001,271828,0
TD,33,9001,42,0
TD,33,9001,55555,0
TD,33,271828,42,1
TD,33,271828,55555,0
TD,33,42,55555,0
TD,34,1729,9001,0
TD,34,1729,271828,1
TD,34,1729,42,1
TD,34,1729,55555,0
TD,34,9001,271828,0
TD,34,9001,42,0
TD,34,9001,55555,0
TD,34,271828,42,0
TD,34,271828,55555,0
TD,34,42,55555,0
TD,35,1729,9001,1
TD,35,1729,271828,1
TD,35,1729,42,0
TD,35,1729,55555,0
TD,35,9001,271828,0
TD,35,9001,42,1
TD,35,9001,55555,0
TD,35,271828,42,0
TD,35,271828,55555,0
TD,35,42,55555,0
TD,36,1729,9001,1
TD,36,1729,271828,1
TD,36,1729,42,1
TD,36,1729,55555,0
TD,36,9001,271828,1
TD,36,9001,42,1
TD,36,9001,55555,0
TD,36,271828,42,1
TD,36,271828,55555,0
TD,36,42,55555,0
TD,37,1729,9001,0
TD,37,1729,271828,0
TD,37,1729,42,0
TD,37,1729,55555,0
TD,37,9001,271828,0
TD,37,9001,42,0
TD,37,9001,55555,0
TD,37,271828,42,0
TD,37,271828,55555,0
TD,37,42,55555,0
TD,38,1729,9001,0
TD,38,1729,271828,0
TD,38,1729,42,0
TD,38,1729,55555,0
TD,38,9001,271828,1
TD,38,9001,42,1
TD,38,9001,55555,0
TD,38,271828,42,0
TD,38,271828,55555,0
TD,38,42,55555,0
TD,39,1729,9001,1
TD,39,1729,271828,1
TD,39,1729,42,1
TD,39,1729,55555,1
TD,39,9001,271828,1
TD,39,9001,42,1
TD,39,9001,55555,1
TD,39,271828,42,1
TD,39,271828,55555,1
TD,39,42,55555,1
TD,40,1729,9001,0
TD,40,1729,271828,0
TD,40,1729,42,0
TD,40,1729,55555,0
TD,40,9001,271828,1
TD,40,9001,42,1
TD,40,9001,55555,0
TD,40,271828,42,0
TD,40,271828,55555,0
TD,40,42,55555,0
TD,41,1729,9001,1
TD,41,1729,271828,1
TD,41,1729,42,1
TD,41,1729,55555,1
TD,41,9001,271828,1
TD,41,9001,42,1
TD,41,9001,55555,1
TD,41,271828,42,1
TD,41,271828,55555,1
TD,41,42,55555,1
TD,42,1729,9001,0
TD,42,1729,271828,0
TD,42,1729,42,0
TD,42,1729,55555,0
TD,42,9001,271828,1
TD,42,9001,42,1
TD,42,9001,55555,0
TD,42,271828,42,1
TD,42,271828,55555,0
TD,42,42,55555,0
TD,43,1729,9001,1
TD,43,1729,271828,1
TD,43,1729,42,1
TD,43,1729,55555,0
TD,43,9001,271828,1
TD,43,9001,42,1
TD,43,9001,55555,0
TD,43,271828,42,1
TD,43,271828,55555,1
TD,43,42,55555,0
TD,44,1729,9001,0
TD,44,1729,271828,0
TD,44,1729,42,0
TD,44,1729,55555,0
TD,44,9001,271828,0
TD,44,9001,42,0
TD,44,9001,55555,0
TD,44,271828,42,1
TD,44,271828,55555,0
TD,44,42,55555,0
TD,45,1729,9001,1
TD,45,1729,271828,1
TD,45,1729,42,1
TD,45,1729,55555,0
TD,45,9001,271828,1
TD,45,9001,42,1
TD,45,9001,55555,0
TD,45,271828,42,1
TD,45,271828,55555,1
TD,45,42,55555,0
TD,46,1729,9001,0
TD,46,1729,271828,0
TD,46,1729,42,0
TD,46,1729,55555,0
TD,46,9001,271828,1
TD,46,9001,42,1
TD,46,9001,55555,0
TD,46,271828,42,1
TD,46,271828,55555,0
TD,46,42,55555,0
TD,47,1729,9001,1
TD,47,1729,271828,1
TD,47,1729,42,1
TD,47,1729,55555,1
TD,47,9001,271828,1
TD,47,9001,42,1
TD,47,9001,55555,1
TD,47,271828,42,1
TD,47,271828,55555,1
TD,47,42,55555,1
TD,48,1729,9001,0
TD,48,1729,271828,0
TD,48,1729,42,1
TD,48,1729,55555,0
TD,48,9001,271828,1
TD,48,9001,42,1
TD,48,9001,55555,0
TD,48,271828,42,1
TD,48,271828,55555,1
TD,48,42,55555,0
TD,49,1729,9001,1
TD,49,1729,271828,0
TD,49,1729,42,1
TD,49,1729,55555,1
TD,49,9001,271828,0
TD,49,9001,42,1
TD,49,9001,55555,1
TD,49,271828,42,0
TD,49,271828,55555,0
TD,49,42,55555,1
TD,50,1729,9001,0
TD,50,1729,271828,1
TD,50,1729,42,0
TD,50,1729,55555,0
TD,50,9001,271828,0
TD,50,9001,42,0
TD,50,9001,55555,1
TD,50,271828,42,0
TD,50,271828,55555,0
TD,50,42,55555,0
TD,51,1729,9001,0
TD,51,1729,271828,1
TD,51,1729,42,1
TD,51,1729,55555,0
TD,51,9001,271828,0
TD,51,9001,42,1
TD,51,9001,55555,0
TD,51,271828,42,0
TD,51,271828,55555,0
TD,51,42,55555,0
