line_id,translation,confidence,notes
11,Not-cocoon insect!,low,Ma'oxe=ma'/Yucatec/no plus ox/Yucatec/capullo cocoon (tie-break among ox senses); ik'el=insect as line 6.
12,Atziri the-sorcery!,low,le'itzil=le the plus its/Yucatec/hechiceria sorcery (residue il); Atziri name.
13,"Snort-[unparsed], good!",low,Xatlene=xat/Yucatec/bufar snort (tie-break vs K'iche' comb-tree) plus residue lene; kujkuali=cualli/Nahuatl/good.
14,,abstain,Gyan'uks: no dictionary hit. ko'janti=ko'/Yucatec/loco mad plus unparsed janti. Cannot make the line.
15,"You-there, shake!",medium,A'te as line 6; 'Ibil=sacudir shake.
16,"You-there, insect!",medium,A'te as line 6; ik'el=insecto.
17,Prior insignia!,low,"Yaxe=yax/Yucatec/anterior, first/prior (substring); chikula'=chikul/Yucatec/insignia (tie-break seed 9001 vs silence, novice)."
18,"Tear-out-there, insect!",low,Tzokan'te=tsok/Yucatec/arrancar plus te there; ik'el=insecto.
19,"You-there, [limek]!",low,A'te as line 6; limek: no dictionary hit.
20,[Yatle] goodness!,low,Yatle: no dictionary hit; yutsal=uts/Yucatec/bondad as line 2.
21,Ladder turkey!,low,tlayeb=ladder as line 6; kutsen=turkey as line 6.
22,Ladder [kifba]!,low,tlayeb=ladder; kifba opaque.
23,"His-there, live-[kal]!",low,"U'Te=u/Yucatec and K'iche'/his, hers, its plus te there; kuxkal=kux/Yucatec/vivir live (tie-break vs life) plus kal residue (overflow, throat, and many Cordemex homophones, not committed)."
24,"You-there, stretch out!",medium,"A'te as line 6; yuquia=yuq/K'iche'/stretch out (rubber), hold out (hand)."
25,"Alas, [lu] gourd-[be]!",low,"Eche=ACHE/Yucatec/hola, alas, i pobre de mi; lu: no exact hit (dump variants only); nochbe=noch/Yucatec/jicara gourd (tie-break vs crocodile, sudden) plus residue be."
26,Sweet [inib]!,low,"Ki'=ki'/K'iche'/delicious, sweet (tie-break vs wine); inib: no dictionary hit."
27,"[Ayok] I ask, his shadow the buried one, far I-wait-for-you.",low,"'Ayok: no dictionary hit; ta'=ta'/K'iche'/to ask (tie-break vs Yucatec gluttony); en=EN/Yucatec/pronombre primera persona I am (tie-break vs Spanish en in); u=U/Yucatec and K'iche'/his, hers, its; mujuk'=muj/K'iche'/shadow, specter, ghost (tie-break vs semi-dark); le=the; mucane=buried; niaach=nach/Yucatec/lejos far (tie-break vs aach dishonor); i'chian=chia/Nahuatl/I wait for you (tie-break vs ich face)."
28,,abstain,"A'te known (you-there) but waja, yatle, u'tra have no dictionary hits; buxa=bux/Yucatec/calabacillas small gourds only. Too much unparsed to make the line."
29,"You-there, [fukuur]!",low,"A'te as line 6; fukuur: no dictionary hit (Spanish furor, fuego not a form match)."
30,"Spark, someone, perhaps...",low,Xi=chispa spark as line 4; daka=aka/Nahuatl/alguno someone; puxe=puxa/K'iche'/perhaps.
31,[Ayok] [kifba] Atziri earth white.,low,"'Ayok opaque; kifba opaque; kilya=kil earth as line 3; sakilja=sakil/Yucatec, ilide/albo, blancura white (longest lemma sakil, residue ja=K'iche' house not used)."
32,You-who-are white water [donuks].,low,"Ik'eche=kech/Yucatec/tu que eres you who are (tie-break vs ik' air); sakilja=white; atla=atl/Nahuatl/water (tie-break vs tla if); donuks: no dictionary hit, kept opaque."
33,[Donuks]... mad-[sal].,low,"Donuks opaque; ko'soxsal=ko'/Yucatec/loco mad plus sal (K'iche' reverse side / Spanish salt / Yucatec empeine), residue sox unparsed."
34,[Donuks]... mad shadow!,low,"Donuks opaque; ko'mujuk=ko' mad plus muj/K'iche'/shadow, ghost."
35,"Spark his-there divide; you-there tear-out the chief [yotlapek] the the Vaal, descend where...",low,"Xi=spark; u'te=his-there; cha'tsoke=hats/Yucatec/repartir, dividir divide (tie-break vs tsok tear); a'te=you-there; itsok=tear out; xefe=jefe/Spanish/chief; yotlapek=tla- plus pek/Yucatec/cosa llana, flat stone or manubrio, not a clean whole; le le=the the; Vaal name; te'moxti=temo/Nahuatl/bajar descend; qexcan=can/Nahuatl/where (tie-break vs only)."
36,Mother kiss.,medium,"Na'=na'/Yucatec/madre mother (tie-break seed 9001 vs feel/taste, be afraid); puyao=puy/Yucatec/beso kiss (tie-break vs K'iche' stab), residue ao."
37,"In the base, his-there kiss; you-there tear-out into opossum calluses!",low,"Ich=ICH/Yucatec face/in (tie-break vs scrutinize); ilide en: ich, ichil; tlapec cf. Nahuatl tlapechtia they serve as a base; u'te=his-there; puyao=kiss; a'te=you-there; itsok=tear out; pu=pu/K'iche'/in, into via pa (tie-break vs mouth/edge); uch'=uch'/K'iche'/opossum (tie-break vs crushed); ta'nuk=TANAK/Yucatec/callos calluses (tie-break vs tanok sole of foot)."
38,"Heap! Tear-out-there, his-there insect...",low,Otsuks=tsuk/Yucatec/monton heap (tie-break vs ots shorten); Tzokan'te as line 18; u'te=his-there; ik'el=insect.
39,Atziri!,high,No dictionary whole-form; kept as name.
40,"You-there live-[kal], ladder turkey. Look, ladder [ukto]! Who who at is-paid?",low,"A'te=you-there; Kuxkal=kux live plus kal residue; tlayeb kutsen=ladder turkey; Ela=ILA/Yucatec/mira look (tie-break vs K'iche' ala young boy); ukto: no dictionary hit (ocotl pine is a different spelling, not used); Maax=ilide quien who (tie-break seed 9001 vs goblin, crush; question mark in line); ka=Nawat quien who (tie-break vs where); ti=at; a'tul=atal/Yucatec/ser pagado be paid (tie-break vs awaited)."
41,Atziri!,high,"Name, as line 39."
42,Heap! Who who at is-paid?,medium,Otsuks=tsuk heap; Maax ka ti a'tul as line 40.
43,"His-there, the buried one!",medium,U'te=u his plus te there; mucane=muka'n buried.
44,Who who at announcement?,low,Maax ka ti as line 40; cheyel=che/Yucatec/anuncio announcement (tie-break vs yel treasure).
45,"His-there, the buried one!",medium,Same as line 43.
46,Who ladder buried?,low,Maax=who; tlayeb=ladder; mucane=buried.
47,Atziri!,high,"Name, as line 39."
48,"Heap, [quxzeh]!",low,Otsuks=tsuk heap; quxzeh: no dictionary hit (kux live is only a short prefix).
49,Knock-down!? [Kiibsa'] I ask!,low,"Axba=AX/Yucatec/derribar knock down plus residue ba; Kiibsa': no dictionary hit; ta' en=K'iche' ask plus Yucatec I, as line 27."
50,"At black brazilwood cloth, in order that there-is full!",low,"Ti=at; ek=eek' black brazilwood as line 1; tala=tela/Spanish/nook', xeet' cloth; jare'yantul=are/K'iche'/in order that plus yan/Yucatec/haber, tener there is plus tul full."
51,"At the black-that, be-opposed wood!",low,"Ti'=ti'/Yucatec/en, at; ek'le=eek' black brazilwood plus le the/that; upulche=UPUL/Yucatec/ser contrariado be opposed plus che (tree/wood among Cordemex che hits)."
