surface,rank,form,lang,gloss,source,kind,residue,note
xu'te,1,xuta,Nawat,"(t.v., r.v.); to wound, to be wounded",Campbell Pipil/Nawat,exact,,
xu'te,2,xuti,Nawat,jute (caracol de agua); water snail,Campbell Pipil/Nawat,exact,,
tul,1,tal,K'iche',listener,Christenson K'iche',exact,,
tul,2,tal,K'iche',one who listens to someone’s needs,Christenson K'iche',exact,,
tul,3,tol,K'iche',"gourd cup (to carry seeds, water, food); shell",Christenson K'iche',exact,,
tul,4,tol,K'iche',bald; shaved,Christenson K'iche',exact,,
tul,5,tol,K'iche',unoccupied mountain,Christenson K'iche',exact,,
tul,6,tul,K'iche',"reed, bullrush",Christenson K'iche',exact,,
tul,7,ta:l,Nawat,earth,Campbell Pipil/Nawat,exact,,
tul,8,ta:l,Nawat,tierra,Campbell Pipil/Nawat,exact,,
tul,9,ta:l,Nawat,"ground, earth, dirt",Campbell Pipil/Nawat,exact,,
tul,10,tal,Nawat,"tierra, suelo, terreno; land, ground, earth, dirt",Campbell Pipil/Nawat,exact,,
tul,11,TAL,Yucatec Maya,aterirse ; vr pasmarse de frio 9. ka1 kis 11:,Cordemex,exact,,
tul,12,TAL,Yucatec Maya,"vn manifestarse, verse, hacerse visible, apareeel', manifestar",Cordemex,exact,,
jare,0,,,,,,,no attested form hit in attached dictionaries
elba,1,alba,Spanish,"Spanish: píik’ sáas, sáastal",ilide Spanish-Maya,exact,,
elba,2,ALBA,Yucatec Maya,"ablandarse la cera, pez y cosas tales al calor",Cordemex,exact,,
elba,3,ALBA,Yucatec Maya,ensayarse para cualquier obra,Cordemex,exact,,
elba,4,ALBA,Yucatec Maya,echar banda,Cordemex,exact,,
elba,5,alba,Yucatec Maya,Profunda,Cordemex,exact,,
elba,6,alba,Yucatec Maya,Derretimiento,Cordemex,exact,,
Kuxte',1,kuxta,Nawat,cuxta (árbol parecido al cacao),Campbell Pipil/Nawat,exact,,
Kuxte',2,kuxta,Nawat,:1 costal; gunny-sack,Campbell Pipil/Nawat,exact,,
kíimil',1,kíimil,Yucatec Maya,deceso,ilide Spanish-Maya,exact,,
kíimil',2,kíimil,Yucatec Maya,defunción,ilide Spanish-Maya,exact,,
kíimil',3,kíimil,Yucatec Maya,marchitar,ilide Spanish-Maya,exact,,
kíimil',4,kíimil,Yucatec Maya,morir,ilide Spanish-Maya,exact,,
kíimil',5,kíimil,Yucatec Maya,muerte,ilide Spanish-Maya,exact,,
kíimil',6,kíimil,Yucatec Maya,perecer,ilide Spanish-Maya,exact,,
kíimil',7,kimil,Nawat,"carga, bulta, tercio; load, bundle",Campbell Pipil/Nawat,exact,,
kíimil',8,KIMIL,Yucatec Maya,crecer la enfermedacl,Cordemex,exact,,
kíimil',9,KIMIL,Yucatec Maya,"enfermedad, 0",Cordemex,exact,,
kíimil',10,KIMIL,Yucatec Maya,"cosa muerta, que muri6; in kimil",Cordemex,exact,,
kíimil',11,kimil,Yucatec Maya,Abortado,Cordemex,exact,,
kíimil',12,kimil,Yucatec Maya,Atollamiento,Cordemex,exact,,
Tlaxye',0,,,,,,,no attested form hit in attached dictionaries
le,1,la,K'iche',stinging nettle (chichicaste),Christenson K'iche',exact,,
le,2,le,K'iche',the,Christenson K'iche',exact,,
le,3,le,K'iche',that; who,Christenson K'iche',exact,,
le,4,LA,Yucatec Maya,"pospuesta a los nombres de parentesco de consanguinidad, denota el que parece que tales [nombres]",Cordemex,exact,,
le,5,LE,Yucatec Maya,pron ese; el; pron peTS ello; Ie pek'o': ese,Cordemex,exact,,
le,6,LE,Yucatec Maya,"i oh!, partkula de dolor yes de mujeres; Ie, yume',",Cordemex,exact,,
le,7,LE,Yucatec Maya,"pronombre [dem] ""aquel"" y rige una e' al fin de la",Cordemex,exact,,
le,8,LE,Yucatec Maya,"lazo para cazar 0 pescar, y cazar y pesear con lazo;",Cordemex,exact,,
le,9,LE,Yucatec Maya,"enlazar con lazos; Ie keh: armar lazos para venados y cogerlos con ellos, coger en lazo generalmente",Cordemex,exact,,
le,10,la,Yucatec Maya,Tji,Cordemex,exact,,
le,11,la,Yucatec Maya,Yaparnar,Cordemex,exact,,
le,12,la,Yucatec Maya,Yey,Cordemex,exact,,
Ma'oxe,0,,,,,,,no attested form hit in attached dictionaries
le'itzil,0,,,,,,,no attested form hit in attached dictionaries
Xatlene,0,,,,,,,no attested form hit in attached dictionaries
Gyan'uks,0,,,,,,,no attested form hit in attached dictionaries
ko'janti,0,,,,,,,no attested form hit in attached dictionaries
Yaxe,0,,,,,,,no attested form hit in attached dictionaries
chikula',1,chikul,Yucatec Maya,Bisono,Cordemex,prefix,a,
chikula',2,chikul,Yucatec Maya,Firma,Cordemex,prefix,a,
chikula',3,chikul,Yucatec Maya,Insignia,Cordemex,prefix,a,
chikula',4,chikul,Yucatec Maya,Silencio,Cordemex,prefix,a,
chikula',5,chi<k>,K'iche',now; again; other; another,Christenson K'iche',prefix,ula,
chikula',6,CHIK,Yucatec Maya,bazucar,Cordemex,prefix,ula,
chikula',7,CHIK,Yucatec Maya,"cosa manca, tulIida 0 lisiada 0 encogida 10.",Cordemex,prefix,ula,
chikula',8,chik,Yucatec Maya,Actor,Cordemex,prefix,ula,
chikula',9,chik,Yucatec Maya,Agitar,Cordemex,prefix,ula,
chikula',10,chik,Yucatec Maya,Atontado,Cordemex,prefix,ula,
chikula',11,chik,Yucatec Maya,Bazucar,Cordemex,prefix,ula,
chikula',12,chik,Yucatec Maya,Bellaco,Cordemex,prefix,ula,
Tzokan'te,0,,,,,,,no attested form hit in attached dictionaries
líimek,0,,,,,,,no attested form hit in attached dictionaries
Yatle,0,,,,,,,no attested form hit in attached dictionaries
U'Te,0,,,,,,,no attested form hit in attached dictionaries
kuxkal,0,,,,,,,no attested form hit in attached dictionaries
yuquia,1,yuq<u>,K'iche',stretch out (rubber); hold out (hand); lengthen (sleeves),Christenson K'iche',prefix,ia,
Eche,1,ACHE,Yucatec Maya,i pobre de mil es particula dolentis y posp6nese a laoraci6n; es del que se admira [ioh!] 7: inter~,Cordemex,exact,,
Eche,2,ACHE,Yucatec Maya,"i hola! en lengua de Campeche,",Cordemex,exact,,
Eche,3,ache,Yucatec Maya,Axioma,Cordemex,exact,,
Eche,4,ache,Yucatec Maya,Iholai,Cordemex,exact,,
Eche,5,ache,Yucatec Maya,Ofuscar,Cordemex,exact,,
Eche,6,ache,Yucatec Maya,Pobre,Cordemex,exact,,
lu,1,la,K'iche',stinging nettle (chichicaste),Christenson K'iche',exact,,
lu,2,lo,K'iche',perhaps; indicator of doubt,Christenson K'iche',exact,,
lu,3,LA,Yucatec Maya,"pospuesta a los nombres de parentesco de consanguinidad, denota el que parece que tales [nombres]",Cordemex,exact,,
lu,4,la,Yucatec Maya,Tji,Cordemex,exact,,
lu,5,la,Yucatec Maya,Yaparnar,Cordemex,exact,,
lu,6,la,Yucatec Maya,Yey,Cordemex,exact,,
lu,7,la,Yucatec Maya,Yelankil,Cordemex,exact,,
lu,8,la,Yucatec Maya,Yetel,Cordemex,exact,,
lu,9,la,Yucatec Maya,Tusinil,Cordemex,exact,,
lu,10,la,Yucatec Maya,Yukuntah,Cordemex,exact,,
nochbe,1,NOCH,Yucatec Maya,jicara que no esta bien redonda 9: jicara mal,Cordemex,prefix,be,
nochbe,2,noch,Yucatec Maya,Repentino,Cordemex,prefix,be,
nochbe,3,noch,Yucatec Maya,Alargado,Cordemex,prefix,be,
nochbe,4,noch,Yucatec Maya,Cad Era,Cordemex,prefix,be,
nochbe,5,noch,Yucatec Maya,Cocodrilo,Cordemex,prefix,be,
nochbe,6,noch,Yucatec Maya,Cuadril,Cordemex,prefix,be,
Kí',1,ke’,K'iche',to grind (corn),Christenson K'iche',exact,,
Kí',2,ki’,K'iche',delicious; sweet,Christenson K'iche',exact,,
Kí',3,ki’,K'iche',diabetes,Christenson K'iche',exact,,
Kí',4,KI',Yucatec Maya,vino en general 3: vino generalmen te; ki' bino,Cordemex,exact,,
Kí',5,KI',Yucatec Maya,deleitable cosa; ki' yU'ubabal u fan Dios: deleitable es oil' la palabra de Dios,Cordemex,exact,,
Kí',6,KI',Yucatec Maya,mejor,Cordemex,exact,,
Kí',7,KI',Yucatec Maya,blanda cosa al tacto 0 delicado 5: suave cosa,Cordemex,exact,,
Kí',8,KI',Yucatec Maya,borracho; ah ki' Motul: los borrachos de,Cordemex,exact,,
Kí',9,ki',Yucatec Maya,Afable,Cordemex,exact,,
Kí',10,ki',Yucatec Maya,Afilado,Cordemex,exact,,
Kí',11,ki',Yucatec Maya,Agradable,Cordemex,exact,,
Kí',12,ki',Yucatec Maya,Agudo,Cordemex,exact,,
inib,0,,,,,,,no attested form hit in attached dictionaries
'Ayok,0,,,,,,,no attested form hit in attached dictionaries
ta',1,ta’,K'iche',to ask,Christenson K'iche',exact,,
ta',2,ta’,K'iche',to ask for the hand of a girl in marriage,Christenson K'iche',exact,,
ta',3,ta’,K'iche',to borrow; ask to borrow,Christenson K'iche',exact,,
ta',4,ta’,K'iche',to borrow,Christenson K'iche',exact,,
ta',5,ta’,K'iche',to ask for a favor,Christenson K'iche',exact,,
ta',6,ta’,K'iche',to ask for information; to ask directions,Christenson K'iche',exact,,
ta',7,tu’,K'iche',breast; breast milk,Christenson K'iche',exact,,
ta',8,TA',Yucatec Maya,glotoneria,Cordemex,exact,,
ta',9,TA',Yucatec Maya,idem.,Cordemex,exact,,
ta',10,TA',Yucatec Maya,escarabajo 2. ah wayan :2: idem.,Cordemex,exact,,
ta',11,TA',Yucatec Maya,enojar a otro; rna' a lep'esik uta' a yum: no,Cordemex,exact,,
ta',12,TA',Yucatec Maya,V. yahal ti' 01,Cordemex,exact,,
en,1,in,K'iche',"me, I",Christenson K'iche',exact,,
en,2,in,Nahuatl,(SD) ne,Campbell Pipil/Nawat CN,exact,,
en,3,in,Nahuatl,the,Nahuatl 1100 wordlist,exact,,
en,4,an,Nawat,"ahora, hoy, entonces; now, today, now then",Campbell Pipil/Nawat,exact,,
en,5,en,Spanish,"Spanish: ich, ichil",ilide Spanish-Maya,exact,,
en,6,AN,Yucatec Maya,el sanido 0 ruido que se hace en la tierra con,Cordemex,exact,,
en,7,AN,Yucatec Maya,"interjectio dolol'is, con dolor :8: interjecci6n de",Cordemex,exact,,
en,8,AN,Yucatec Maya,(ida) [llevado],Cordemex,exact,,
en,9,AN,Yucatec Maya,ahumado,Cordemex,exact,,
en,10,AN,Yucatec Maya,". cosa.echada, 0 tendida.a lalarga",Cordemex,exact,,
en,11,AN,Yucatec Maya,"cosa que esta desatada, suelta y no atada;",Cordemex,exact,,
en,12,AN,Yucatec Maya,pp de chu'uch,Cordemex,exact,,
u,0,,,,,,,no attested form hit in attached dictionaries
mujuk',0,,,,,,,no attested form hit in attached dictionaries
niáach,0,,,,,,,no attested form hit in attached dictionaries
i'chian,0,,,,,,,no attested form hit in attached dictionaries
waja,0,,,,,,,no attested form hit in attached dictionaries
u'tra,0,,,,,,,no attested form hit in attached dictionaries
buxa,0,,,,,,,no attested form hit in attached dictionaries
fukuur,0,,,,,,,no attested form hit in attached dictionaries
daka,0,,,,,,,no attested form hit in attached dictionaries
puxe,1,puxa,K'iche',perhaps (Momostenango),Christenson K'iche',exact,,
sakilja,1,sakil,Yucatec Maya,Albo,Cordemex,prefix,ja,
sakilja,2,sakil,Yucatec Maya,Bisono,Cordemex,prefix,ja,
sakilja,3,sakil,Yucatec Maya,Nitidez,Cordemex,prefix,ja,
sakilja,4,sakil,Yucatec Maya,blancura,ilide Spanish-Maya,prefix,ja,
Ik'eche,0,,,,,,,no attested form hit in attached dictionaries
atla,1,ATLE,Yucatec Maya,Iabula,Cordemex,exact,,
donuks,0,,,,,,,no attested form hit in attached dictionaries
ko'soxsal,0,,,,,,,no attested form hit in attached dictionaries
ko'mujuk,0,,,,,,,no attested form hit in attached dictionaries
cha'tsoke,0,,,,,,,no attested form hit in attached dictionaries
xefe,1,jefe,Spanish,"Spanish: yuum nohoch yuum, halach wíinik, tatich, nohochil",ilide Spanish-Maya,exact,,
yotlapek,0,,,,,,,no attested form hit in attached dictionaries
te'moxti,1,temo,Nahuatl,bajar,Campbell Pipil/Nawat CN,prefix,xti,
qexcan,0,,,,,,,no attested form hit in attached dictionaries
Na',1,na’,K'iche',"to feel, to taste; to acquaint one’s self; estimate",Christenson K'iche',exact,,
Na',2,na’,K'iche',to be afraid,Christenson K'iche',exact,,
Na',3,ne’,K'iche',newborn baby,Christenson K'iche',exact,,
Na',4,na',Yucatec Maya,Madrastra,Cordemex,exact,,
Na',5,na',Yucatec Maya,Madre,Cordemex,exact,,
Na',6,na',Yucatec Maya,Matriz,Cordemex,exact,,
Na',7,na',Yucatec Maya,Matanza,Cordemex,exact,,
Na',8,na',Yucatec Maya,Mueble,Cordemex,exact,,
Na',9,na',Yucatec Maya,Tintura,Cordemex,exact,,
Na',10,na’,Yucatec Maya,madre,ilide Spanish-Maya,exact,,
Na',11,na’,Yucatec Maya,mamá,ilide Spanish-Maya,exact,,
Na',12,na,K'iche',marker of future; or certainty,Christenson K'iche',exact,,
puyao,0,,,,,,,no attested form hit in attached dictionaries
Ich,1,e<ch>,K'iche',indicator of ownership; from; of; belong to,Christenson K'iche',exact,,
Ich,2,ech,K'iche',so that,Christenson K'iche',exact,,
Ich,3,ech,K'iche',for; belonging to,Christenson K'iche',exact,,
Ich,4,ech,K'iche',destiny; fate,Christenson K'iche',exact,,
Ich,5,ECH,Yucatec Maya,es pronombre primitivo de segunda persona de,Cordemex,exact,,
Ich,6,ICH,Yucatec Maya,.el de rostro tostado y el,Cordemex,exact,,
Ich,7,ICH,Yucatec Maya,"rostra risuefio ; che'che'eh, che'eh",Cordemex,exact,,
Ich,8,ICH,Yucatec Maya,es hacerse asi desvergonzado [en Ia,Cordemex,exact,,
Ich,9,ICH,Yucatec Maya,chi'ikt,Cordemex,exact,,
Ich,10,ICH,Yucatec Maya,escudrifiarlo y deshollinarlo,Cordemex,exact,,
Ich,11,ICH,Yucatec Maya,dejar 0 acabar uno su oficio; choch ichni Juan:,Cordemex,exact,,
Ich,12,ICH,Yucatec Maya,idem 3. tupul ich 3: idem.,Cordemex,exact,,
tlapec,0,,,,,,,no attested form hit in attached dictionaries
pu,1,pa,K'iche',in; into; toward; at; on; to; from; during,Christenson K'iche',exact,,
pu,2,pa,K'iche',thigh; upper leg,Christenson K'iche',exact,,
pu,3,pa,K'iche',heel or sole of foot,Christenson K'iche',exact,,
pu,4,pa,K'iche',marrow,Christenson K'iche',exact,,
pu,5,pa,K'iche',behind the knee,Christenson K'iche',exact,,
pu,6,pa,K'iche',cold sore,Christenson K'iche',exact,,
pu,7,pa,K'iche',monthly,Christenson K'iche',exact,,
pu,8,pa,K'iche',floor,Christenson K'iche',exact,,
pu,9,pa,K'iche',someday,Christenson K'iche',exact,,
pu,10,pa,K'iche',in a little while,Christenson K'iche',exact,,
pu,11,pa,K'iche',in the country,Christenson K'iche',exact,,
pu,12,pa,K'iche',armpit,Christenson K'iche',exact,,
uch',1,ach’,K'iche',kind; class,Christenson K'iche',exact,,
uch',2,ach’,K'iche',confidant; one in whom you can confide,Christenson K'iche',exact,,
uch',3,ach’,K'iche',fellow-man,Christenson K'iche',exact,,
uch',4,och’,K'iche',corn on the cob (still on the plant; unripe),Christenson K'iche',exact,,
uch',5,uch’,K'iche',opossum,Christenson K'iche',exact,,
uch',6,ACH',Yucatec Maya,"cosa como de cera, arrugac1a 0 deformada pOI'",Cordemex,exact,,
uch',7,OCH',Yucatec Maya,"despreciar, ofender, desacatar 8: ingrato,",Cordemex,exact,,
uch',8,UCH',Yucatec Maya,deformado; aplastado,Cordemex,exact,,
uch',9,ach',Yucatec Maya,Aplanado,Cordemex,exact,,
uch',10,ach',Yucatec Maya,Arruga,Cordemex,exact,,
uch',11,ach',Yucatec Maya,Arrugar,Cordemex,exact,,
uch',12,ach',Yucatec Maya,Chaquiste,Cordemex,exact,,
ta'nuk,1,TANAK,Yucatec Maya,ciertos callos que se hacen en los pies y en las,Cordemex,exact,,
ta'nuk,2,TANOK,Yucatec Maya,la planta del pie,Cordemex,exact,,
ta'nuk,3,tanak,Yucatec Maya,Callejera,Cordemex,exact,,
ta'nuk,4,tanak,Yucatec Maya,Gresca,Cordemex,exact,,
ta'nuk,5,tanok,Yucatec Maya,Del Pie,Cordemex,exact,,
ta'nuk,6,TANU,Yucatec Maya,a la luna.,Cordemex,prefix,k,
Otsuks,0,,,,,,,no attested form hit in attached dictionaries
Ela,1,ala,K'iche',young boy,Christenson K'iche',exact,,
Ela,2,ala,K'iche',fiance; intended husband,Christenson K'iche',exact,,
Ela,3,ila,K'iche',to dislike,Christenson K'iche',exact,,
Ela,4,ala,Spanish,Spanish: xiik’,ilide Spanish-Maya,exact,,
Ela,5,ILA,Yucatec Maya,mira,Cordemex,exact,,
ukto,0,,,,,,,no attested form hit in attached dictionaries
Máax,1,MAAX,Yucatec Maya,8 13 :,Cordemex,exact,,
Máax,2,MAAX,Yucatec Maya,duende,Cordemex,exact,,
Máax,3,MAAX,Yucatec Maya,el que se abroquela bien,Cordemex,exact,,
Máax,4,maax,Yucatec Maya,Antojo,Cordemex,exact,,
Máax,5,maax,Yucatec Maya,Deseo,Cordemex,exact,,
Máax,6,maax,Yucatec Maya,Escudar,Cordemex,exact,,
Máax,7,maax,Yucatec Maya,Escudo,Cordemex,exact,,
Máax,8,maax,Yucatec Maya,Silencio,Cordemex,exact,,
